,STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
0,       4336;19510101;-999;-999;-999;    5;  10.0;   8;-999;   0;   6.3;   6.1;    -999;    0.7;   96.00;    2.0;   -3.4;   -3.3;eor
1,       4336;19510102;-999;-999;-999;    5;   7.8;   8;-999;   2;   8.0;   6.1;    -999;    1.0;   94.00;    2.0;   -0.3;    0.2;eor
2,       4336;19510103;-999;-999;-999;    5;   0.4;   8;-999;   0;   8.0;   5.6;    -999;    0.4;   91.00;    1.0;   -1.3;   -1.3;eor
3,       4336;19510104;-999;-999;-999;    5;   3.4;   1;-999;   0;   6.7;   5.6;    -999;    0.4;   89.00;    1.5;   -2.4;   -0.8;eor
4,       4336;19510105;-999;-999;-999;    5;   0.1;   1;-999;   0;   5.3;   6.5;    -999;    4.2;   81.00;    6.0;    0.2;    0.4;eor
5,       4336;19510106;-999;-999;-999;    5;   1.6;   1;-999;   0;   2.0;   6.1;    -999;    5.3;   68.00;    7.5;    2.7;    1.2;eor
6,       4336;19510107;-999;-999;-999;    5;   3.4;   1;-999;   0;   5.7;   7.6;    -999;    4.7;   87.00;    6.3;    3.4;    2.5;eor
7,       4336;19510108;-999;-999;-999;    5;   0.8;   1;-999;   0;   6.0;   7.3;    -999;    3.4;   94.00;    4.5;    1.4;    1.7;eor
8,       4336;19510109;-999;-999;-999;    5;   0.0;   0;-999;   0;   3.0;   6.4;    -999;    2.9;   83.00;    5.7;    0.2;    1.4;eor
9,       4336;19510110;-999;-999;-999;    5;   1.0;   1;-999;   0;   0.7;   5.9;    -999;    3.2;   77.00;    6.3;   -1.8;   -3.3;eor
10,       4336;19510111;-999;-999;-999;    5;   4.9;   1;-999;   0;   6.7;   7.5;    -999;    7.4;   74.00;    8.3;    3.3;    2.5;eor
11,       4336;19510112;-999;-999;-999;    5;   0.3;   1;-999;   0;   6.7;   6.9;    -999;    3.6;   85.00;    8.0;    1.7;    5.2;eor
12,       4336;19510113;-999;-999;-999;    5;   1.8;   1;-999;   0;   6.7;   6.7;    -999;    3.1;   89.00;    4.2;    1.5;    1.2;eor
13,       4336;19510114;-999;-999;-999;    5;   2.1;   1;-999;   0;   7.3;   7.1;    -999;    3.8;   89.00;    4.7;    1.4;    1.8;eor
14,       4336;19510115;-999;-999;-999;    5;  11.1;   1;-999;   0;   5.3;   6.7;    -999;    2.6;   87.00;    6.7;    0.5;    2.4;eor
15,       4336;19510116;-999;-999;-999;    5;   1.0;   7;-999;   0;   7.0;   6.1;    -999;    1.6;   88.00;    3.0;   -0.4;   -0.5;eor
16,       4336;19510117;-999;-999;-999;    5;   9.0;   8;-999;   2;   8.0;   6.5;    -999;    1.8;   97.00;    3.1;   -0.9;   -0.8;eor
17,       4336;19510118;-999;-999;-999;    5;  10.5;   1;-999;   0;   7.0;   7.9;    -999;    4.6;   89.00;    6.6;    2.4;    3.0;eor
18,       4336;19510119;-999;-999;-999;    5;   9.2;   1;-999;   0;   7.7;   6.8;    -999;    3.4;   87.00;    3.7;    1.6;    1.0;eor
19,       4336;19510120;-999;-999;-999;    5;  11.0;   1;-999;   0;   8.0;   9.5;    -999;    7.0;   93.00;    8.0;    2.9;    3.9;eor
20,       4336;19510121;-999;-999;-999;    5;   4.2;   1;-999;   0;   8.0;   9.1;    -999;    6.0;   97.00;    6.6;    5.3;    5.8;eor
21,       4336;19510122;-999;-999;-999;    5;   1.1;   1;-999;   0;   8.0;   8.3;    -999;    4.4;   96.00;    6.0;    3.2;    5.0;eor
22,       4336;19510123;-999;-999;-999;    5;   0.2;   1;-999;   0;   6.3;   7.6;    -999;    4.0;   92.00;    5.2;    2.8;    3.5;eor
23,       4336;19510124;-999;-999;-999;    5;   0.0;   0;-999;   0;   4.3;   6.5;    -999;    3.6;   83.00;    5.0;    1.0;    0.9;eor
24,       4336;19510125;-999;-999;-999;    5;   0.0;   0;-999;   0;   8.0;   6.0;    -999;    1.2;   90.00;    3.8;    0.2;    1.5;eor
25,       4336;19510126;-999;-999;-999;    5;   0.0;   0;-999;   0;   8.0;   6.8;    -999;    2.7;   91.00;    4.2;    0.6;    1.1;eor
26,       4336;19510127;-999;-999;-999;    5;   0.0;   0;-999;   0;   7.3;   6.8;    -999;    2.7;   91.00;    3.7;    1.5;    2.2;eor
27,       4336;19510128;-999;-999;-999;    5;   0.0;   0;-999;   0;   8.0;   6.4;    -999;    2.6;   88.00;    3.2;    0.6;    1.4;eor
28,       4336;19510129;-999;-999;-999;    5;   0.0;   0;-999;   0;   8.0;   6.1;    -999;    1.8;   87.00;    2.8;    0.6;    1.7;eor
